Continent,Date,Total_cases,Total_deaths
Africa,2/13/2020,0,0
Africa,2/14/2020,1,0
Africa,2/15/2020,1,0
Africa,2/16/2020,1,0
Africa,2/17/2020,1,0
Africa,2/18/2020,1,0
Africa,2/19/2020,1,0
Africa,2/20/2020,1,0
Africa,2/21/2020,1,0
Africa,2/22/2020,1,0
Africa,2/23/2020,1,0
Africa,2/24/2020,1,0
Africa,2/25/2020,2,0
Africa,2/26/2020,2,0
Africa,2/27/2020,2,0
Africa,2/28/2020,3,0
Africa,2/29/2020,3,0
Africa,3/1/2020,4,0
Africa,3/2/2020,8,0
Africa,3/3/2020,11,0
Africa,3/4/2020,21,0
Africa,3/5/2020,24,0
Africa,3/6/2020,43,0
Africa,3/7/2020,43,0
Africa,3/8/2020,83,1
Africa,3/9/2020,91,1
Africa,3/10/2020,104,2
Africa,3/11/2020,118,2
Africa,3/12/2020,134,3
Africa,3/13/2020,176,6
Africa,3/14/2020,252,7
Africa,3/15/2020,317,8
Africa,3/16/2020,404,8
Africa,3/17/2020,492,11
Africa,3/18/2020,610,17
Africa,3/19/2020,788,20
Africa,3/20/2020,975,26
Africa,3/21/2020,1172,36
Africa,3/22/2020,1437,48
Africa,3/23/2020,1818,57
Africa,3/24/2020,2250,64
Africa,3/25/2020,2773,73
Africa,3/26/2020,3326,91
Africa,3/27/2020,3885,115
Africa,3/28/2020,4224,134
Africa,3/29/2020,4785,152
Africa,3/30/2020,5196,173
Africa,3/31/2020,5779,200
Africa,4/1/2020,6378,234
Africa,4/2/2020,7031,287
Africa,4/3/2020,7912,331
Africa,4/4/2020,8589,382
Africa,4/5/2020,9295,442
Africa,4/6/2020,9997,487
Africa,4/7/2020,10632,533
Africa,4/8/2020,11419,573
Africa,4/9/2020,12248,627
Africa,4/10/2020,12905,692
Africa,4/11/2020,13616,742
Africa,4/12/2020,14489,788
Africa,4/13/2020,15256,833
Africa,4/14/2020,16227,873
Africa,4/15/2020,17192,910
Africa,4/16/2020,18360,965
Africa,4/17/2020,19763,1015
Africa,4/18/2020,21072,1058
Africa,4/19/2020,22271,1120
Africa,4/20/2020,23431,1159
Africa,4/21/2020,24507,1189
Africa,4/22/2020,25911,1240
Africa,4/23/2020,27349,1297
Africa,4/24/2020,29052,1324
Africa,4/25/2020,30296,1372
Africa,4/26/2020,31829,1422
Africa,4/27/2020,33167,1462
Africa,4/28/2020,34786,1523
Africa,4/29/2020,36807,1588
Africa,4/30/2020,38753,1634
Africa,5/1/2020,40468,1690
Africa,5/2/2020,42705,1759
Africa,5/3/2020,44297,1796
Africa,5/4/2020,46951,1842
Africa,5/5/2020,48993,1906
Africa,5/6/2020,51535,2006
Africa,5/7/2020,54022,2073
Africa,5/8/2020,57647,2154
Africa,5/9/2020,60507,2221
Africa,5/10/2020,63086,2290
Africa,5/11/2020,66145,2344
Africa,5/12/2020,69312,2395
Africa,5/13/2020,72226,2493
Africa,5/14/2020,75344,2562
Africa,5/15/2020,78270,2624
Africa,5/16/2020,81273,2708
Africa,5/17/2020,84587,2758
Africa,5/18/2020,88255,2831
Africa,5/19/2020,91266,2906
Africa,5/20/2020,95057,2990
Africa,5/21/2020,99752,3095
Africa,5/22/2020,103620,3183
Africa,5/23/2020,107485,3255
Africa,5/24/2020,111607,3354
Africa,5/25/2020,115733,3479
Africa,5/26/2020,119444,3591
Africa,5/27/2020,124524,3698
Africa,5/28/2020,129440,3791
Africa,5/29/2020,135187,3922
Africa,5/30/2020,141304,4069
Africa,5/31/2020,146551,4222
Africa,6/1/2020,152336,4343
Africa,6/2/2020,157214,4493
Africa,6/3/2020,162311,4601
Africa,6/4/2020,169417,4756
Africa,6/5/2020,176605,4913
Africa,6/6/2020,183202,5055
Africa,6/7/2020,189536,5188
Africa,6/8/2020,196187,5363
Africa,6/9/2020,202657,5537
Africa,6/10/2020,209202,5688
Africa,6/11/2020,216605,5851
Africa,6/12/2020,224684,6049
Africa,6/13/2020,232771,6253
Africa,6/14/2020,241551,6459
Africa,6/15/2020,251144,6761
Africa,6/16/2020,258786,7015
Africa,6/17/2020,267522,7218
Africa,6/18/2020,275757,7419
