Asia,Date,Total_cases,Total_deaths
Asia,1/22/2020,556,17
Asia,1/23/2020,654,18
Asia,1/24/2020,937,26
Asia,1/25/2020,1429,42
Asia,1/26/2020,2105,56
Asia,1/27/2020,2912,82
Asia,1/28/2020,5558,131
Asia,1/29/2020,6143,133
Asia,1/30/2020,8208,171
Asia,1/31/2020,9889,213
Asia,2/1/2020,11991,259
Asia,2/2/2020,16738,362
Asia,2/3/2020,19827,426
Asia,2/4/2020,23836,492
Asia,2/5/2020,27579,564
Asia,2/6/2020,30739,634
Asia,2/7/2020,34267,719
Asia,2/8/2020,36989,806
Asia,2/9/2020,40014,906
Asia,2/10/2020,42551,1013
Asia,2/11/2020,44589,1113
Asia,2/12/2020,44966,1118
Asia,2/13/2020,60116,1371
Asia,2/14/2020,66599,1523
Asia,2/15/2020,68674,1665
Asia,2/16/2020,70787,1769
Asia,2/17/2020,72721,1867
Asia,2/18/2020,74515,2007
Asia,2/19/2020,74935,2122
Asia,2/20/2020,75480,2245
Asia,2/21/2020,76088,2248
Asia,2/22/2020,77807,2454
Asia,2/23/2020,78030,2463
Asia,2/24/2020,78521,2619
Asia,2/25/2020,79264,2696
Asia,2/26/2020,80063,2753
Asia,2/27/2020,81155,2791
Asia,2/28/2020,82236,2844
Asia,2/29/2020,83728,2904
Asia,3/1/2020,85321,2952
Asia,3/2/2020,86704,3017
Asia,3/3/2020,88571,3061
Asia,3/4/2020,89799,3122
Asia,3/5/2020,91090,3169
Asia,3/6/2020,93121,3223
Asia,3/7/2020,94880,3275
Asia,3/8/2020,96081,3361
Asia,3/9/2020,96987,3432
Asia,3/10/2020,98175,3508
Asia,3/11/2020,99896,3605
Asia,3/12/2020,101263,3703
Asia,3/13/2020,103074,3807
Asia,3/14/2020,104983,3929
Asia,3/15/2020,106931,4060
Asia,3/16/2020,108644,4211
Asia,3/17/2020,110650,4370
Asia,3/18/2020,112783,4558
Asia,3/19/2020,114922,4733
Asia,3/20/2020,117619,4909
Asia,3/21/2020,120175,5068
