Continent,Date,Total_cases,Total_deaths
Australia,1/26/2020,4,0
Australia,1/27/2020,5,0
Australia,1/28/2020,5,0
Australia,1/29/2020,6,0
Australia,1/30/2020,9,0
Australia,1/31/2020,9,0
Australia,2/1/2020,12,0
Australia,2/2/2020,12,0
Australia,2/3/2020,12,0
Australia,2/4/2020,13,0
Australia,2/5/2020,13,0
Australia,2/6/2020,14,0
Australia,2/7/2020,15,0
Australia,2/8/2020,15,0
Australia,2/9/2020,15,0
Australia,2/10/2020,15,0
Australia,2/11/2020,15,0
Australia,2/12/2020,15,0
Australia,2/13/2020,15,0
Australia,2/14/2020,15,0
Australia,2/15/2020,15,0
Australia,2/16/2020,15,0
Australia,2/17/2020,15,0
Australia,2/18/2020,15,0
Australia,2/19/2020,15,0
Australia,2/20/2020,15,0
Australia,2/21/2020,15,0
Australia,2/22/2020,15,0
Australia,2/23/2020,15,0
Australia,2/24/2020,15,0
Australia,2/25/2020,15,0
Australia,2/26/2020,15,0
Australia,2/27/2020,15,0
Australia,2/28/2020,15,0
Australia,2/29/2020,25,0
Australia,3/1/2020,27,1
Australia,3/2/2020,30,1
Australia,3/3/2020,39,1
Australia,3/4/2020,52,2
Australia,3/5/2020,55,2
Australia,3/6/2020,60,2
Australia,3/7/2020,63,2
Australia,3/8/2020,76,3
Australia,3/9/2020,91,3
Australia,3/10/2020,107,3
Australia,3/11/2020,128,3
Australia,3/12/2020,128,3
Australia,3/13/2020,200,3
Australia,3/14/2020,250,3
Australia,3/15/2020,297,3
Australia,3/16/2020,377,3
Australia,3/17/2020,452,5
Australia,3/18/2020,568,6
Australia,3/19/2020,681,6
Australia,3/20/2020,791,7
Australia,3/21/2020,1071,7
Australia,3/22/2020,1549,7
Australia,3/23/2020,1682,7
Australia,3/24/2020,2044,8
Australia,3/25/2020,2364,8
Australia,3/26/2020,2810,13
Australia,3/27/2020,3143,13
Australia,3/28/2020,3640,14
Australia,3/29/2020,3984,16
Australia,3/30/2020,4361,17
Australia,3/31/2020,4559,18
Australia,4/1/2020,4862,20
Australia,4/2/2020,5116,24
Australia,4/3/2020,5330,28
Australia,4/4/2020,5550,30
Australia,4/5/2020,5687,35
Australia,4/6/2020,5797,40
Australia,4/7/2020,5895,45
Australia,4/8/2020,6010,50
Australia,4/9/2020,6108,51
Australia,4/10/2020,6215,54
Australia,4/11/2020,6303,57
Australia,4/12/2020,6315,60
Australia,4/13/2020,6351,61
Australia,4/14/2020,6415,62
Australia,4/15/2020,6440,63
Australia,4/16/2020,6462,63
Australia,4/17/2020,6522,66
Australia,4/18/2020,6568,67
Australia,4/19/2020,6610,67
Australia,4/20/2020,6623,67
Australia,4/21/2020,6645,67
Australia,4/22/2020,6652,67
Australia,4/23/2020,6662,75
Australia,4/24/2020,6677,79
Australia,4/25/2020,6694,80
Australia,4/26/2020,6714,83
Australia,4/27/2020,6721,83
Australia,4/28/2020,6744,89
Australia,4/29/2020,6752,91
Australia,4/30/2020,6766,93
Australia,5/1/2020,6778,93
Australia,5/2/2020,6799,94
