Continent,Date,Total_cases,Total_deaths
Europe,1/23/2020,0,0
Europe,1/24/2020,2,0
Europe,1/25/2020,3,0
Europe,1/26/2020,3,0
Europe,1/27/2020,4,0
Europe,1/28/2020,8,0
Europe,1/29/2020,10,0
Europe,1/30/2020,10,0
Europe,1/31/2020,17,0
Europe,2/1/2020,23,0
Europe,2/2/2020,25,0
Europe,2/3/2020,33,0
Europe,2/4/2020,34,0
Europe,2/5/2020,35,0
Europe,2/6/2020,35,0
Europe,2/7/2020,37,0
Europe,2/8/2020,46,0
Europe,2/9/2020,49,0
Europe,2/10/2020,49,0
Europe,2/11/2020,52,0
Europe,2/12/2020,53,0
Europe,2/13/2020,54,0
Europe,2/14/2020,55,0
Europe,2/15/2020,56,1
Europe,2/16/2020,56,1
Europe,2/17/2020,57,1
Europe,2/18/2020,57,1
Europe,2/19/2020,58,1
Europe,2/20/2020,60,1
Europe,2/21/2020,78,2
Europe,2/22/2020,120,3
Europe,2/23/2020,218,4
Europe,2/24/2020,294,8
Europe,2/25/2020,402,11
Europe,2/26/2020,565,14
Europe,2/27/2020,829,19
Europe,2/28/2020,1132,23
Europe,2/29/2020,1506,32
Europe,3/1/2020,2261,37
Europe,3/2/2020,2821,56
Europe,3/3/2020,3515,85
Europe,3/4/2020,4521,114
Europe,3/5/2020,5955,159
Europe,3/6/2020,7733,215
Europe,3/7/2020,9891,264
Europe,3/8/2020,12416,410
Europe,3/9/2020,15568,527
Europe,3/10/2020,18955,720
Europe,3/11/2020,24414,961
Europe,3/12/2020,28337,1159
Europe,3/13/2020,39859,1535
Europe,3/14/2020,48022,1824
Europe,3/15/2020,56855,2323
Europe,3/16/2020,67855,2832
Europe,3/17/2020,79425,3438
Europe,3/18/2020,93434,4085
Europe,3/19/2020,112805,4936
Europe,3/20/2020,133261,6124
Europe,3/21/2020,154906,7558
Europe,3/22/2020,175241,8867
Europe,3/23/2020,201619,10439
Europe,3/24/2020,226028,12288
Europe,3/25/2020,257047,14531
Europe,3/26/2020,292866,16833
Europe,3/27/2020,328795,19502
Europe,3/28/2020,365481,22299
Europe,3/29/2020,395598,24900
Europe,3/30/2020,428184,27934
Europe,3/31/2020,464866,31171
Europe,4/1/2020,501874,35434
Europe,4/2/2020,537902,39245
Europe,4/3/2020,575945,43492
Europe,4/4/2020,588455,47211
Europe,4/5/2020,614917,50225
Europe,4/6/2020,642313,53776
Europe,4/7/2020,666126,58865
Europe,4/8/2020,700237,62816
Europe,4/9/2020,733557,67593
Europe,4/10/2020,764923,72008
Europe,4/11/2020,792085,75340
Europe,4/12/2020,867091,78519
Europe,4/13/2020,892254,81751
Europe,4/14/2020,929824,85357
Europe,4/15/2020,961744,90359
Europe,4/16/2020,1005799,94540
Europe,4/17/2020,1037920,98599
Europe,4/18/2020,1065281,101783
Europe,4/19/2020,1095411,104198
Europe,4/20/2020,1119033,107033
Europe,4/21/2020,1146454,110777
Europe,4/22/2020,1176007,114177
Europe,4/23/2020,1201548,117309
Europe,4/24/2020,1217691,120621
Europe,4/25/2020,1242459,123414
Europe,4/26/2020,1264498,125138
Europe,4/27/2020,1288678,127178
Europe,4/28/2020,1312671,129974
Europe,4/29/2020,1334256,132842
Europe,4/30/2020,1357347,135085
Europe,5/1/2020,1380200,136927
Europe,5/2/2020,1402401,139210
Europe,5/3/2020,1423610,140348
Europe,5/4/2020,1444679,141857
Europe,5/5/2020,1467263,143858
Europe,5/6/2020,1494323,146376
Europe,5/7/2020,1519458,148132
Europe,5/8/2020,1542899,150133
Europe,5/9/2020,1563602,151317
Europe,5/10/2020,1583357,152245
Europe,5/11/2020,1607183,153400
Europe,5/12/2020,1629259,155205
Europe,5/13/2020,1649727,156768
Europe,5/14/2020,1669870,158344
Europe,5/15/2020,1690190,159662
Europe,5/16/2020,1707845,160812
Europe,5/17/2020,1724306,161793
Europe,5/18/2020,1741220,162611
Europe,5/19/2020,1760124,163526
Europe,5/20/2020,1778178,164702
Europe,5/21/2020,1795698,165661
Europe,5/22/2020,1814535,167268
Europe,5/23/2020,1831164,168121
Europe,5/24/2020,1845347,168855
Europe,5/25/2020,1859652,167497
Europe,5/26/2020,1875887,168615
Europe,5/27/2020,1891032,169608
Europe,5/28/2020,1911470,170515
Europe,5/29/2020,1928086,171437
Europe,5/30/2020,1944703,172145
