Continent,Date,Total_cases,Total_deaths
North America,1/22/2020,1,0
North America,1/23/2020,1,0
North America,1/24/2020,2,0
North America,1/25/2020,2,0
North America,1/26/2020,6,0
North America,1/27/2020,6,0
North America,1/28/2020,7,0
North America,1/29/2020,8,0
North America,1/30/2020,8,0
North America,1/31/2020,12,0
North America,2/1/2020,12,0
North America,2/2/2020,12,0
North America,2/3/2020,15,0
North America,2/4/2020,15,0
North America,2/5/2020,16,0
North America,2/6/2020,17,0
North America,2/7/2020,19,0
North America,2/8/2020,19,0
North America,2/9/2020,19,0
North America,2/10/2020,19,0
North America,2/11/2020,20,0
North America,2/12/2020,20,0
North America,2/13/2020,21,0
North America,2/14/2020,21,0
North America,2/15/2020,21,0
North America,2/16/2020,21,0
North America,2/17/2020,22,0
North America,2/18/2020,22,0
North America,2/19/2020,22,0
North America,2/20/2020,22,0
North America,2/21/2020,25,0
North America,2/22/2020,25,0
North America,2/23/2020,25,0
North America,2/24/2020,26,0
North America,2/25/2020,28,0
North America,2/26/2020,28,0
North America,2/27/2020,31,0
North America,2/28/2020,33,0
North America,2/29/2020,50,1
North America,3/1/2020,64,1
North America,3/2/2020,93,6
North America,3/3/2020,117,7
North America,3/4/2020,155,11
North America,3/5/2020,236,12
North America,3/6/2020,306,14
North America,3/7/2020,476,17
North America,3/8/2020,610,21
North America,3/9/2020,703,23
North America,3/10/2020,896,29
North America,3/11/2020,1311,35
North America,3/12/2020,1784,45
North America,3/13/2020,2531,53
North America,3/14/2020,3352,60
North America,3/15/2020,3670,72
North America,3/16/2020,5348,104
North America,3/17/2020,7319,144
North America,3/18/2020,10235,210
North America,3/19/2020,15045,287
North America,3/20/2020,21815,398
North America,3/21/2020,28522,506
North America,3/22/2020,38160,641
North America,3/23/2020,50039,839
North America,3/24/2020,61399,1090
North America,3/25/2020,74343,1440
North America,3/26/2020,93460,1876
North America,3/27/2020,113176,2424
North America,3/28/2020,136704,3172
North America,3/29/2020,154251,3761
North America,3/30/2020,177863,4520
North America,3/31/2020,205955,5645
North America,4/1/2020,239139,6966
North America,4/2/2020,273433,8549
North America,4/3/2020,307510,10047
North America,4/4/2020,341284,11764
North America,4/5/2020,372810,13503
