Continent,Date,Total_cases,Total_deaths
South America,2/22/2020,0,0
South America,2/23/2020,2,0
South America,2/24/2020,2,0
South America,2/25/2020,2,0
South America,2/26/2020,3,0
South America,2/27/2020,3,0
South America,2/28/2020,3,0
South America,2/29/2020,4,0
South America,3/1/2020,17,0
South America,3/2/2020,17,0
South America,3/3/2020,20,0
South America,3/4/2020,25,0
South America,3/5/2020,31,0
South America,3/6/2020,43,1
South America,3/7/2020,49,1
South America,3/8/2020,74,3
South America,3/9/2020,81,3
South America,3/10/2020,107,3
South America,3/11/2020,136,3
South America,3/12/2020,156,5
South America,3/13/2020,310,6
South America,3/14/2020,388,8
South America,3/15/2020,454,10
South America,3/16/2020,689,10
South America,3/17/2020,980,15
South America,3/18/2020,1220,23
South America,3/19/2020,1693,33
South America,3/20/2020,2337,47
South America,3/21/2020,3048,58
South America,3/22/2020,4180,82
South America,3/23/2020,4997,103
South America,3/24/2020,5838,133
South America,3/25/2020,6655,163
South America,3/26/2020,7775,197
South America,3/27/2020,8951,228
South America,3/28/2020,10282,282
South America,3/29/2020,11313,333
South America,3/30/2020,12297,387
South America,3/31/2020,14496,484
South America,4/1/2020,16877,572
South America,4/2/2020,19184,724
South America,4/3/2020,21194,827
South America,4/4/2020,23615,1007
South America,4/5/2020,25529,1129
South America,4/6/2020,27532,1280
South America,4/7/2020,30400,1488
South America,4/8/2020,35480,1740
South America,4/9/2020,39586,2036
South America,4/10/2020,44957,2279
South America,4/11/2020,48027,2497
South America,4/12/2020,50915,2734
South America,4/13/2020,54988,2984
South America,4/14/2020,58044,3343
South America,4/15/2020,63250,3721
South America,4/16/2020,67613,4086
South America,4/17/2020,72883,4508
South America,4/18/2020,78604,4923
South America,4/19/2020,82935,5233
South America,4/20/2020,87138,5616
South America,4/21/2020,91920,6023
South America,4/22/2020,97268,6455
South America,4/23/2020,104692,7185
South America,4/24/2020,122079,7848
South America,4/25/2020,132942,8517
South America,4/26/2020,139823,9068
South America,4/27/2020,146767,9803
South America,4/28/2020,157146,10841
South America,4/29/2020,167768,11656
South America,4/30/2020,180248,12541
South America,5/1/2020,191872,13542
South America,5/2/2020,203219,14647
South America,5/3/2020,215291,15588
South America,5/4/2020,227379,16395
South America,5/5/2020,240332,17429
South America,5/6/2020,256796,18624
South America,5/7/2020,270507,19777
South America,5/8/2020,285999,21154
South America,5/9/2020,302973,22325
South America,5/10/2020,315034,23756
South America,5/11/2020,325688,24864
South America,5/12/2020,341214,26407
South America,5/13/2020,361274,27711
South America,5/14/2020,382485,29063
South America,5/15/2020,408145,30891
South America,5/16/2020,433556,32245
South America,5/17/2020,448835,33307
South America,5/18/2020,469750,34699
South America,5/19/2020,496376,36562
South America,5/20/2020,530144,38287
South America,5/21/2020,559071,40047
South America,5/22/2020,590584,41825
South America,5/23/2020,624084,43519
South America,5/24/2020,649169,44816
South America,5/25/2020,673324,46303
South America,5/26/2020,701535,48039
South America,5/27/2020,735458,49800
South America,5/28/2020,777456,51701
South America,5/29/2020,817097,53651
South America,5/30/2020,873341,55126
South America,5/31/2020,902985,56340
South America,6/1/2020,931574,57789
South America,6/2/2020,979111,60056
South America,6/3/2020,1014768,61999
South America,6/4/2020,1059135,64221
South America,6/5/2020,1103161,66146
South America,6/6/2020,1149653,67804
South America,6/7/2020,1181591,69079
South America,6/8/2020,1209791,71247
