Continent,Date,Total_cases,Total_deaths
World,1/22/2020,557,17
World,1/23/2020,655,18
World,1/24/2020,941,26
World,1/25/2020,1434,42
World,1/26/2020,2118,56
World,1/27/2020,2927,82
World,1/28/2020,5578,131
World,1/29/2020,6167,133
World,1/30/2020,8235,171
World,1/31/2020,9927,213
World,2/1/2020,12038,259
World,2/2/2020,16787,362
World,2/3/2020,19887,426
World,2/4/2020,23898,492
World,2/5/2020,27643,564
World,2/6/2020,30805,634
World,2/7/2020,34399,719
World,2/8/2020,37130,806
World,2/9/2020,40161,906
World,2/10/2020,42769,1013
World,2/11/2020,44811,1113
World,2/12/2020,45229,1118
World,2/13/2020,60381,1371
World,2/14/2020,66909,1523
World,2/15/2020,69052,1666
World,2/16/2020,71235,1770
World,2/17/2020,73270,1868
World,2/18/2020,75152,2008
World,2/19/2020,75652,2123
World,2/20/2020,76212,2248
World,2/21/2020,76841,2252
World,2/22/2020,78602,2459
World,2/23/2020,78982,2470
World,2/24/2020,79550,2630
World,2/25/2020,80404,2710
World,2/26/2020,81381,2771
World,2/27/2020,82740,2814
World,2/28/2020,84128,2873
World,2/29/2020,86022,2943
World,3/1/2020,88400,2997
World,3/2/2020,90379,3086
World,3/3/2020,92980,3160
World,3/4/2020,95282,3255
World,3/5/2020,98100,3348
World,3/6/2020,102016,3461
World,3/7/2020,106113,3565
World,3/8/2020,110051,3805
World,3/9/2020,114232,3995
World,3/10/2020,119055,4271
World,3/11/2020,126714,4616
World,3/12/2020,132513,4925
World,3/13/2020,146864,5417
World,3/14/2020,157962,5838
World,3/15/2020,169241,6483
World,3/16/2020,184034,7175
World,3/17/2020,200039,7990
World,3/18/2020,219585,8906
World,3/19/2020,246683,10022
World,3/20/2020,277564,11518
World,3/21/2020,309679,13241
World,3/22/2020,344821,14927
World,3/23/2020,387488,16885
World,3/24/2020,428574,19195
World,3/25/2020,479663,22019
World,3/26/2020,542525,25059
World,3/27/2020,607435,28544
World,3/28/2020,677100,32380
World,3/29/2020,734000,35857
World,3/30/2020,799279,39938
World,3/31/2020,876098,44670
World,4/1/2020,958232,50684
World,4/2/2020,1041001,56576
World,4/3/2020,1125038,62754
World,4/4/2020,1183686,68734
World,4/5/2020,1254430,73977
World,4/6/2020,1328175,79912
World,4/7/2020,1397298,88222
World,4/8/2020,1480584,95052
World,4/9/2020,1567107,102921
World,4/10/2020,1652458,110337
World,4/11/2020,1726530,116623
World,4/12/2020,1845644,122563
World,4/13/2020,1916747,128582
World,4/14/2020,2000549,135687
World,4/15/2020,2078439,144231
World,4/16/2020,2173538,151650
World,4/17/2020,2261370,160151
World,4/18/2020,2338185,166353
World,4/19/2020,2414729,171704
World,4/20/2020,2490514,177752
World,4/21/2020,2566227,185154
World,4/22/2020,2648033,192181
World,4/23/2020,2731155,199179
World,4/24/2020,2814873,206093
World,4/25/2020,2897911,211977
World,4/26/2020,2968944,216230
World,4/27/2020,3040027,221160
World,4/28/2020,3115584,227995
World,4/29/2020,3192956,234942
World,4/30/2020,3276146,240996
World,5/1/2020,3364995,246467
World,5/2/2020,3444135,252311
World,5/3/2020,3518428,256158
World,5/4/2020,3595783,260710
World,5/5/2020,3675490,266837
World,5/6/2020,3766108,273722
World,5/7/2020,3854841,279419
World,5/8/2020,3945497,285347
World,5/9/2020,4029754,289933
World,5/10/2020,4105019,293974
World,5/11/2020,4181394,297890
World,5/12/2020,4266218,303770
World,5/13/2020,4350557,309256
World,5/14/2020,4445875,314838
World,5/15/2020,4542086,320474
World,5/16/2020,4636258,325024
World,5/17/2020,4714262,328598
World,5/18/2020,4803432,332747
World,5/19/2020,4900019,337874
World,5/20/2020,5005031,343267
World,5/21/2020,5110912,348233
World,5/22/2020,5218546,353920
World,5/23/2020,5322661,358297
World,5/24/2020,5415728,361786
World,5/25/2020,5503706,363320
World,5/26/2020,5596621,367976
World,5/27/2020,5699263,373369
World,5/28/2020,5819122,378414
World,5/29/2020,5940705,383574
World,5/30/2020,6075668,387860
World,5/31/2020,6178047,391006
World,6/1/2020,6277597,394639
World,6/2/2020,6401972,399944
World,6/3/2020,6513135,405633
World,6/4/2020,6651334,411104
World,6/5/2020,6785043,416228
World,6/6/2020,6914688,420339
World,6/7/2020,7025899,423473
World,6/8/2020,7129223,427824
World,6/9/2020,7255577,432945
World,6/10/2020,7392354,438390
World,6/11/2020,7527616,443474
World,6/12/2020,7655590,448215
World,6/13/2020,7789223,452622
World,6/14/2020,7921315,456290
World,6/15/2020,8046062,460265
World,6/16/2020,8190601,467411
World,6/17/2020,8333724,472901
World,6/18/2020,8476624,478223
World,6/19/2020,8657975,484571
World,6/20/2020,8843710,489039
World,6/21/2020,8936733,493626
World,6/22/2020,9078574,497426
World,6/23/2020,9246802,503016
World,6/24/2020,9418139,508494
World,6/25/2020,9597296,513586
World,6/26/2020,9790392,518665
World,6/27/2020,9966907,523359
World,6/28/2020,10134740,526932
World,6/29/2020,10287788,530960
World,6/30/2020,10471031,536199
World,7/1/2020,10686362,541571
World,7/2/2020,10890618,547047
World,7/3/2020,11093572,552285
World,7/4/2020,11283208,557052
World,7/5/2020,11469181,560850
World,7/6/2020,11637170,565064
World,7/7/2020,11845996,571442
World,7/8/2020,12061797,577075
World,7/9/2020,12285569,582876
World,7/10/2020,12518527,588626
World,7/11/2020,12731601,593729
World,7/12/2020,12923077,598017
World,7/13/2020,13119098,602400
World,7/14/2020,13339580,608387
World,7/15/2020,13569135,614293
World,7/16/2020,13813602,620457
World,7/17/2020,14051238,627455
World,7/18/2020,14286659,633955
World,7/19/2020,14498673,638848
World,7/20/2020,14707438,642769
World,7/21/2020,14949537,649128
World,7/22/2020,15225344,656498
World,7/23/2020,15505140,663140
World,7/24/2020,15789315,669597
World,7/25/2020,16037650,675671
World,7/26/2020,16250670,680027
World,7/27/2020,16485345,685304
World,7/28/2020,16749800,692256
World,7/29/2020,17020784,698905
World,7/30/2020,17301008,705657
World,7/31/2020,17590160,712242
World,8/1/2020,17836291,718248
World,8/2/2020,18067349,722906
World,8/3/2020,18272638,727701
World,8/4/2020,18538230,734877
World,8/5/2020,18814050,742263
World,8/6/2020,19100310,749083
World,8/7/2020,19383632,755825
World,8/8/2020,19648256,761837
World,8/9/2020,19881674,767008
World,8/10/2020,20116312,772373
World,8/11/2020,20380584,778988
World,8/12/2020,20656348,785952
World,8/13/2020,20946191,792745
World,8/14/2020,21254016,799325
World,8/15/2020,21501909,805343
World,8/16/2020,21712409,810128
World,8/17/2020,21926340,814743
World,8/18/2020,22185180,821795
World,8/19/2020,22463144,828802
World,8/20/2020,22733520,835250
World,8/21/2020,22996594,840993
World,8/22/2020,23258257,846805
World,8/23/2020,23461681,851114
World,8/24/2020,23690631,855951
World,8/25/2020,23935279,862526
World,8/26/2020,24217235,869091
World,8/27/2020,24504157,875314
World,8/28/2020,24788581,881146
World,8/29/2020,25048789,886968
World,8/30/2020,25267393,891231
World,8/31/2020,25532995,895658
World,9/1/2020,25799373,902255
World,9/2/2020,26081567,908543
World,9/3/2020,26367077,914647
World,9/4/2020,26668354,920516
World,9/5/2020,26940848,925634
World,9/6/2020,27170497,929759
World,9/7/2020,27388887,939367
World,9/8/2020,27634635,944504
World,9/9/2020,27919942,950763
World,9/10/2020,28223254,956777
World,9/11/2020,28539813,962779
World,9/12/2020,28827967,967830
World,9/13/2020,29075630,971782
World,9/14/2020,29343885,976375
World,9/15/2020,29623855,982956
World,9/16/2020,29928905,988832
World,9/17/2020,30243042,994478
World,9/18/2020,30570966,1000336
World,9/19/2020,30862108,1005650
World,9/20/2020,31117639,1009617
World,9/21/2020,31378172,1014029
World,9/22/2020,31661675,1020199
World,9/23/2020,31973413,1026748
World,9/24/2020,32293665,1032426
World,9/25/2020,32624272,1038439
World,9/26/2020,32907634,1043872
World,9/27/2020,33155536,1047718
World,9/28/2020,33418613,1051798
World,9/29/2020,33700468,1057896
World,9/30/2020,34025745,1064352
World,10/1/2020,34344301,1073252
World,10/2/2020,34673403,1078934
World,10/3/2020,34969401,1083669
World,10/4/2020,35228377,1087688
World,10/5/2020,35541149,1094759
World,10/6/2020,35855888,1100612
World,10/7/2020,36204668,1106507
World,10/8/2020,36564252,1112869
World,10/9/2020,36924332,1119053
World,10/10/2020,37278415,1123949
World,10/11/2020,37565651,1128069
World,10/12/2020,37859527,1132132
World,10/13/2020,38179398,1137554
World,10/14/2020,38560339,1143740
World,10/15/2020,38968750,1149929
World,10/16/2020,39378347,1156143
World,10/17/2020,39746983,1161834
World,10/18/2020,40077012,1165699
World,10/19/2020,40455346,1170433
World,10/20/2020,40844958,1177070
World,10/21/2020,41288164,1183932
World,10/22/2020,41762783,1189855
World,10/23/2020,42260501,1196912
World,10/24/2020,42710007,1202770
World,10/25/2020,43069088,1207031
World,10/26/2020,43556079,1212659
World,10/27/2020,44026582,1220118
World,10/28/2020,44544971,1227323
World,10/29/2020,45096479,1234526
World,10/30/2020,45670575,1242219
World,10/31/2020,46141004,1248814
World,11/1/2020,46575914,1253948
World,11/2/2020,47136457,1260119
World,11/3/2020,47690875,1269602
World,11/4/2020,48198046,1279761
World,11/5/2020,48817576,1288468
World,11/6/2020,49438723,1297570
World,11/7/2020,50032307,1305253
World,11/8/2020,50519525,1311348
World,11/9/2020,51023642,1318522
World,11/10/2020,51601426,1328583
World,11/11/2020,52227874,1339106
World,11/12/2020,52871836,1348894
World,11/13/2020,53531561,1358653
World,11/14/2020,54112054,1367705
World,11/15/2020,54588370,1374301
World,11/16/2020,55118453,1382236
World,11/17/2020,55728842,1393318
World,11/18/2020,56355736,1404764
World,11/19/2020,57010354,1415922
World,11/20/2020,57682984,1427682
World,11/21/2020,58270659,1436703
World,11/22/2020,58757577,1444124
World,11/23/2020,59293257,1452654
World,11/24/2020,59885227,1465379
